time [s],m [kg],Uint energy [J],m_dot vent [kg/s],U int energy solids [J],Q_amb [W],Q_iHEX [W],u_int h2 [J/kg],h H2 [J/kg],T H2 [K],rho H2 [kg/m3],P H2 [Pa],T solids [K],Q oHEX [W]
0,221.888968,76037749.51,0,2040907.517,25,0,342683.7765,911382.6224,70,70.33599644,40000000,70,20070.2319
1,221.8866378,76035626.21,0,2040932.261,25,0,342677.8059,911353.3638,69.99898924,70.33525782,39997941.99,70.00033445,20070.52449
2,221.883944,76033171.84,0,2040956.607,25,0,342670.9049,911319.542,69.99782089,70.33440389,39995562.91,70.00066353,20070.86271
3,221.8811933,76030666.37,0,2040980.397,25,0,342663.861,911285.014,69.9966282,70.33353196,39993134.03,70.00098508,20071.20799
4,221.8784337,76028153.52,0,2041003.591,25,0,342656.7974,911250.3821,69.99543201,70.33265722,39990697.68,70.00129859,20071.55431
5,221.8756728,76025640.12,0,2041026.158,25,0,342649.7334,911215.7405,69.99423558,70.33178203,39988260.49,70.00160361,20071.90072
6,221.8729116,76023127.29,0,2041048.069,25,0,342642.672,911181.1043,69.99303944,70.33090678,39985823.48,70.00189976,20072.24709
7,221.8701504,76020615.19,0,2041069.299,25,0,342635.6139,911146.4759,69.99184366,70.33003152,39983386.85,70.00218672,20072.59337
8,221.8673893,76018103.89,0,2041089.828,25,0,342628.5591,911111.8559,69.99064828,70.32915626,39980950.61,70.00246419,20072.93957
9,221.8646281,76015593.41,0,2041109.638,25,0,342621.5079,911077.2447,69.98945331,70.328281,39978514.8,70.00273194,20073.28568
10,221.8618669,76013083.75,0,2041128.712,25,0,342614.4602,911042.6424,69.98825876,70.32740573,39976079.4,70.00298975,20073.6317
11,221.8591057,76010574.94,0,2041147.039,25,0,342607.4161,911008.049,69.98706464,70.32653047,39973644.43,70.00323746,20073.97764
12,221.8563445,76008066.98,0,2041164.606,25,0,342600.3757,910973.4648,69.98587095,70.32565521,39971209.89,70.00347489,20074.32348
13,221.8535833,76005559.89,0,2041181.404,25,0,342593.3391,910938.8899,69.98467769,70.32477995,39968775.79,70.00370192,20074.66923
14,221.8508221,76003053.67,0,2041197.423,25,0,342586.3062,910904.3243,69.98348488,70.32390468,39966342.13,70.00391844,20075.01489
15,221.8480609,76000548.33,0,2041212.657,25,0,342579.2771,910869.7681,69.98229252,70.32302942,39963908.92,70.00412433,20075.36045
16,221.8452997,75998043.88,0,2041227.099,25,0,342572.2518,910835.2214,69.98110061,70.32215416,39961476.15,70.00431952,20075.70591
17,221.8425385,75995540.33,0,2041240.743,25,0,342565.2304,910800.6843,69.97990916,70.32127889,39959043.83,70.00450393,20076.05129
18,221.8397773,75993037.67,0,2041253.584,25,0,342558.2129,910766.1568,69.97871816,70.32040363,39956611.96,70.00467748,20076.39656
19,221.8370161,75990535.91,0,2041265.619,25,0,342551.1992,910731.6389,69.97752762,70.31952837,39954180.55,70.00484015,20076.74174
20,221.834255,75988035.06,0,2041276.845,25,0,342544.1895,910697.1307,69.97633754,70.31865311,39951749.58,70.00499186,20077.08682
21,221.8314938,75985535.11,0,2041287.258,25,0,342537.1836,910662.6322,69.97514793,70.31777784,39949319.08,70.0051326,20077.43181
22,221.8287326,75983036.08,0,2041296.857,25,0,342530.1817,910628.1434,69.97395878,70.31690258,39946889.03,70.00526234,20077.77669
23,221.8259714,75980537.95,0,2041305.64,25,0,342523.1837,910593.6644,69.9727701,70.31602732,39944459.43,70.00538105,20078.12148
24,221.8232102,75978040.74,0,2041313.607,25,0,342516.1897,910559.1951,69.97158188,70.31515205,39942030.3,70.00548872,20078.46618
25,221.820449,75975544.44,0,2041320.756,25,0,342509.1996,910524.7356,69.97039412,70.31427679,39939601.62,70.00558534,20078.81077
26,221.8176878,75973049.05,0,2041327.088,25,0,342502.2134,910490.2859,69.96920684,70.31340153,39937173.4,70.00567092,20079.15527
27,221.8149266,75970554.57,0,2041332.603,25,0,342495.2312,910455.8459,69.96802002,70.31252627,39934745.64,70.00574545,20079.49967
28,221.8121654,75968061.01,0,2041337.301,25,0,342488.2529,910421.4156,69.96683366,70.311651,39932318.33,70.00580895,20079.84397
29,221.8094042,75965568.36,0,2041341.183,25,0,342481.2786,910386.9952,69.96564777,70.31077574,39929891.48,70.00586142,20080.18818
30,221.806643,75963076.61,0,2041344.252,25,0,342474.3081,910352.5844,69.96446234,70.30990048,39927465.09,70.00590289,20080.53228
31,221.8038818,75960585.78,0,2041346.507,25,0,342467.3416,910318.1834,69.96327738,70.30902521,39925039.15,70.00593338,20080.87629
32,221.8011206,75958095.85,0,2041347.952,25,0,342460.379,910283.792,69.96209288,70.30814995,39922613.67,70.0059529,20081.22021
33,221.7983595,75955606.82,0,2041348.588,25,0,342453.4203,910249.4104,69.96090884,70.30727469,39920188.64,70.0059615,20081.56402
34,221.7955983,75953118.69,0,2041348.418,25,0,342446.4655,910215.0383,69.95972526,70.30639942,39917764.06,70.00595921,20081.90775
35,221.7928371,75950631.47,0,2041347.445,25,0,342439.5146,910180.6759,69.95854214,70.30552416,39915339.94,70.00594605,20082.25137
36,221.7900759,75948145.13,0,2041345.67,25,0,342432.5675,910146.3231,69.95735948,70.3046489,39912916.26,70.00592207,20082.5949
37,221.7873147,75945659.7,0,2041343.098,25,0,342425.6243,910111.9798,69.95617727,70.30377364,39910493.04,70.0058873,20082.93833
