Temp [K],Specific heat capacity [J/kg.K]
4,0.291976488
5,0.414953656
6,0.604705025
7,0.819204419
8,1.047916397
9,1.295589594
10,1.573040847
11,1.892802679
12,2.267712796
13,2.710693156
14,3.234853801
15,3.853604493
16,4.580688275
17,5.430130666
18,6.416120354
19,7.552840769
20,8.854270289
21,10.333966366
22,12.004846468
23,13.878976587
24,15.967376035
25,18.279845365
26,20.824822363
27,23.609269339
28,26.638593327
29,29.916599342
30,33.445475647
31,37.225808951
32,41.256626718
33,45.535463205
34,50.058445546
35,54.820396044
36,59.814946865
37,65.034663475
38,70.471173416
39,76.115297338
40,81.957179573
41,87.986415913
42,94.192176665
43,100.563323434
44,107.088518432
45,113.756325455
46,120.555301984
47,127.474082078
48,134.501450015
49,141.626404757
50,148.838215521
51,156.126468843
52,163.481107570
53,170.892462355
54,178.351276208
55,185.848722719
56,193.376418536
57,200.926430735
58,208.491279646
59,216.063937691
60,223.637824793
61,231.206800841
62,238.765155656
63,246.307596925
64,253.829236449
65,261.325575078
66,268.792486637
67,276.226201135
68,283.623287479
69,290.980635906
70,298.295440365
71,305.565180940
72,312.787606503
73,319.960717663
74,327.082750167
75,334.152158725
76,341.167601465
77,348.127924911
78,355.032149625
79,361.879456477
80,368.669173608
81,375.400764026
82,382.073813902
83,388.688021517
84,395.243186849
85,401.739201839
86,408.176041227
87,414.553754033
88,420.872455588
89,427.132320138
90,433.333574003
91,439.476489169
92,445.561377472
93,451.588585149
94,457.558487887
95,463.471486232
96,469.328001439
97,475.128471634
98,480.873348362
99,486.563093434
100,492.198176057
101,497.779070301
102,503.306252740
103,508.780200454
104,514.201389094
105,519.570291369
106,524.887375513
107,530.153104072
108,535.367932797
109,540.532309724
110,545.646674376
111,550.711457090
112,555.727078440
113,560.693948873
114,565.612468296
115,570.483025844
116,575.305999750
117,580.081757214
118,584.810654387
119,589.493036453
120,594.129237643
121,598.719581430
122,603.264380725
123,607.763938075
124,612.218545952
125,616.628486990
126,620.994034395
127,625.315452198
128,629.592995687
129,633.826911743
130,638.017439248
131,642.164809497
132,646.269246616
133,650.330967964
134,654.350184593
135,658.327101644
136,662.261918809
137,666.154830736
138,670.006027508
139,673.815695029
140,677.584015462
141,681.311167648
142,684.997327533
143,688.642668610
144,692.247362247
145,695.811578109
146,699.335484607
147,702.819249230
148,706.263038843
149,709.667020224
150,713.031360216
151,716.356226227
152,719.641786423
153,722.888210216
154,726.095668373
155,729.264333482
156,732.394380152
157,735.485985296
158,738.539328404
159,741.554591800
160,744.531960886
161,747.471624396
162,750.373774507
163,753.238607208
164,756.066322368
165,758.857124011
166,761.611220423
167,764.328824348
168,767.010153196
169,769.655429057
170,772.264878980
171,774.838734995
172,777.377234345
173,779.880619417
174,782.349137978
175,784.783043272
176,787.182594012
177,789.548054502
178,791.879694693
179,794.177790255
180,796.442622544
181,798.674478783
182,800.873651986
183,803.040440993
184,805.175150544
185,807.278091215
186,809.349579502
187,811.389937722
188,813.399494137
189,815.378582812
190,817.327543695
191,819.246722487
192,821.136470726
193,822.997145724
194,824.829110437
195,826.632733562
196,828.408389384
197,830.156457787
198,831.877324172
199,833.571379429
200,835.239019739
201,836.880646788
202,838.496667431
203,840.087493769
204,841.653542996
205,843.195237371
206,844.713004216
207,846.207275657
208,847.678488709
209,849.127085102
210,850.553511236
211,851.958218080
212,853.341661146
213,854.704300286
214,856.046599739
215,857.369027979
216,858.672057596
217,859.956165257
218,861.221831690
219,862.469541399
220,863.699782792
221,864.913047978
222,866.109832630
223,867.290636135
224,868.455961243
225,869.606314119
226,870.742204246
227,871.864144361
228,872.972650354
229,874.068241173
230,875.151438782
231,876.222768101
232,877.282756871
233,878.331935625
234,879.370837681
235,880.399998934
236,881.419957979
237,882.431255793
238,883.434435992
239,884.430044483
240,885.418629626
241,886.400742043
242,887.376934660
243,888.347762588
244,889.313783113
245,890.275555680
246,891.233641834
247,892.188605139
248,893.141011274
249,894.091427803
250,895.040424403
251,895.988572603
252,896.936445869
253,897.884619656
254,898.833671293
255,899.784179962
256,900.736726799
257,901.691894775
258,902.650268766
259,903.612435594
260,904.578983883
261,905.550504245
262,906.527589197
263,907.510833137
264,908.500832555
265,909.498185832
266,910.503493364
267,911.517357675
268,912.540383312
269,913.573177003
270,914.616347582
271,915.670506174
272,916.736266109
273,917.814243137
274,918.905055299
275,920.009323094
276,921.127669689
277,922.260720662
278,923.409104321
279,924.573451777
280,925.754396897
281,926.952576444
282,928.168630292
283,929.403201341
284,930.656935731
285,931.930482902
286,933.224495721
287,934.539630553
288,935.876547469
289,937.235910270
290,938.618386698
291,940.024648451
292,941.455371496
293,942.911235991
294,944.392926629
295,945.901132675
296,947.436548132
297,948.999871978
298,950.591808190
299,952.213065986
300,953.864360100
