Temp [K],Specific heat capacity [J/kg.K]
10,8.349370381
11,17.90185025
12,28.47282141
13,40.40358337
14,53.80013701
15,68.74192479
16,85.31533102
17,103.6105704
18,123.9575199
19,146.2078212
20,170.4320738
21,196.9710961
22,225.6720117
23,256.877816
24,290.4053341
25,326.3454788
26,365.308161
27,407.1193621
28,452.109081
29,500.3580735
30,551.9687941
31,606.7775283
32,665.1326807
33,727.111473
34,792.7753616
35,861.9969365
36,934.0873195
37,1008.35228
38,1085.015991
39,1164.087215
40,1245.569378
41,1329.698988
42,1416.223495
43,1505.147858
44,1596.465475
45,1690.430772
46,1786.777089
47,1885.502512
48,1986.853952
49,2090.831576
50,2197.435869
51,2306.406458
52,2417.989519
53,2532.186952
54,2649.006275
55,2768.446606
56,2890.491821
57,3015.141919
58,3142.391689
59,3272.23994
60,3404.688143
61,3539.737861
62,3677.644424
63,3818.132319
64,3961.201546
65,4106.857237
66,4255.103784
67,4405.941188
68,4559.358026
69,4715.353216
70,4874.182559
71,5035.586038
72,5199.563652
73,5366.113395
74,5535.23133
75,5707.174025
76,5881.682124
77,6059.007617
78,6239.150504
79,6421.85158
80,6607.361215
81,6795.679411
82,6986.806708
83,7180.491779
84,7376.99119
85,7576.304941
86,7778.167474
87,7982.832483
88,8190.299966
